animeID,name,premiered,genre,type,episodes,producer,licensor,studio,source,scored,scoredBy,members
26,Texhnolyze,Spring 2003,"['Action', 'Sci-Fi', 'Psychological', 'Drama']",TV,22,"['Group TAC', 'Rondo Robe', 'Fuji TV', 'Pioneer LDC']","['Funimation', 'Geneon Entertainment USA']",['Madhouse'],Original,7.78,29698,126309
27,Trinity Blood,Spring 2005,"['Action', 'Supernatural', 'Vampire']",TV,24,[],['Funimation'],['Gonzo'],Light novel,7.41,59564,131732
28,Yakitate!! Japan,Fall 2004,"['Comedy', 'Shounen']",TV,69,"['TV Tokyo', 'Aniplex', 'd-rights', 'Tohokushinsha Film Corporation', 'Atelier Musa']",['Nozomi Entertainment'],['Sunrise'],Manga,8.02,26509,62224
29,Zipang,Fall 2004,"['Action', 'Military', 'Sci-Fi', 'Historical', 'Drama', 'Seinen']",TV,26,"['Marvelous', 'TBS']",['Geneon Entertainment USA'],['Studio Deen'],Manga,7.54,4148,11768
30,Neon Genesis Evangelion,Fall 1995,"['Action', 'Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",TV,26,"['TV Tokyo', 'Kadokawa Shoten', 'Nihon Ad Systems', 'Audio Tanaka']",['ADV Films'],"['Gainax', 'Tatsunoko Production']",Original,8.32,362916,638943
31,Neon Genesis Evangelion: Death & Rebirth,None,"['Drama', 'Mecha', 'Psychological', 'Sci-Fi']",Movie,1,"['Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']",[],"['Gainax', 'Production I.G']",Original,7.5,70336,121746
32,Neon Genesis Evangelion: The End of Evangelion,None,"['Sci-Fi', 'Dementia', 'Psychological', 'Drama', 'Mecha']",Movie,1,"['TV Tokyo', 'Toei Animation', 'Kadokawa Shoten', 'Movic', 'Sega', 'TV Tokyo Music', 'Audio Tanaka']",['Manga Entertainment'],"['Gainax', 'Production I.G']",Original,8.48,193277,295214
33,Kenpuu Denki Berserk,Fall 1997,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",TV,25,"['VAP', 'Hakusensha', 'Nippon Television Network']","['Media Blasters', 'NYAV Post']",['OLM'],Manga,8.45,153543,301328
43,Ghost in the Shell,None,"['Action', 'Sci-Fi', 'Police', 'Psychological', 'Mecha', 'Seinen']",Movie,1,"['Bandai Visual', 'Kodansha']",['Manga Entertainment'],['Production I.G'],Manga,8.35,182385,328965
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,None,"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai']",OVA,4,['Aniplex'],"['ADV Films', 'Aniplex of America']",['Studio Deen'],Manga,8.79,89007,166944
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Winter 1996,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai']",TV,94,"['Aniplex', 'SME Visual Works', 'Fuji TV']",['Media Blasters'],"['Studio Gallop', 'Studio Deen']",Manga,8.4,135492,274956
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,None,"['Samurai', 'Historical', 'Drama', 'Shounen']",Movie,1,"['Fuji TV', 'Sony Music Entertainment']","['ADV Films', 'Aniplex of America']",['Studio Gallop'],Manga,7.63,20921,37273
47,Akira,None,"['Action', 'Military', 'Sci-Fi', 'Adventure', 'Horror', 'Supernatural']",Movie,1,"['Mainichi Broadcasting System', 'Kodansha', 'Toho']","['Funimation', 'Bandai Entertainment', 'Geneon Entertainment USA']",['Tokyo Movie Shinsha'],Manga,8.16,190158,309004
48,.hack//Sign,Spring 2002,"['Game', 'Sci-Fi', 'Adventure', 'Mystery', 'Magic', 'Fantasy']",TV,26,"['Bandai Visual', 'Yomiko Advertising', 'Bandai', 'CyberConnect2']","['Funimation', 'Bandai Entertainment']",['Bee Train'],Original,7.09,61438,129203
49,Aa! Megami-sama!,None,"['Comedy', 'Magic', 'Romance', 'Seinen', 'Supernatural']",OVA,5,"['Bandai Visual', 'KSS', 'Pony Canyon', 'TBS', 'Kodansha', 'Half H.P Studio', 'Nichion']",['AnimEigo'],['AIC'],Manga,7.38,20917,38999
50,Aa! Megami-sama! (TV),Winter 2005,"['Comedy', 'Supernatural', 'Magic', 'Romance', 'Seinen']",TV,24,"['Bandai Visual', 'TBS']","['Media Blasters', 'NYAV Post']",['AIC'],Manga,7.43,57230,111950
51,Tenshi Kinryouku,None,"['Action', 'Drama', 'Romance', 'Shoujo', 'Supernatural']",OVA,3,"['Bandai Visual', 'AIC', 'Lantis', 'Audio Tanaka']",['Media Blasters'],['Hal Film Maker'],Manga,6.42,23142,39332
52,Kidou Tenshi Angelic Layer,Spring 2001,"['Sci-Fi', 'Comedy', 'Sports', 'Drama', 'Shounen']",TV,26,['TV Tokyo Music'],"['ADV Films', 'Sentai Filmworks']",['Bones'],Manga,7.31,22155,44193
